Time(s),STD,Two,Three,Four,Five,Six,Seven
4.2,0.3376,24.13,23.874,23.386,24.142,23.602,23.284
8.259,0.3353,24.135,23.88,23.392,24.144,23.607,23.307
12.303,0.3352,24.141,23.875,23.375,24.142,23.601,23.316
16.384,0.3363,24.143,23.873,23.368,24.146,23.597,23.305
20.435,0.3373,24.142,23.879,23.369,24.147,23.593,23.301
24.481,0.3364,24.144,23.872,23.363,24.138,23.607,23.339
28.528,0.3343,24.148,23.878,23.382,24.137,23.629,23.368
32.576,0.3324,24.148,23.888,23.402,24.136,23.641,23.365
36.644,0.3315,24.15,23.875,23.374,24.131,23.632,23.357
40.713,0.3321,24.149,23.865,23.351,24.13,23.622,23.311
44.758,0.3332,24.149,23.867,23.345,24.133,23.618,23.292
